Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Claim1	Cladophialophora	immunda	Cladophialophora immunda
ClaPMI390	Clavulina	sp.	Clavulina sp.
Clapol1	Cladochytrium	polystomum	Cladochytrium polystomum
Claps1	Cladophialophora	psammophila	Cladophialophora psammophila
Clapy1	Clavicorona	pyxidata	Clavicorona pyxidata
Clasph1	Cladosporium	sphaerospermum	Cladosporium sphaerospermum
Claye1	Cladophialophora	yegresii	Cladophialophora yegresii
Clibor1	Climacocystis	borealis	Climacocystis borealis
Cligib1	Clitocybe	gibba	Clitocybe gibba
Cloaq1	Clohesyomyces	aquaticus	Clohesyomyces aquaticus
Cocba1	Coccodinium	bartschii	Coccodinium bartschii
Cocca1	Cochliobolus	carbonum	Cochliobolus carbonum
CocheC4	Cochliobolus	heterostrophus	Cochliobolus heterostrophus
CocheC5	Cochliobolus	heterostrophus	Cochliobolus heterostrophus
Coclu2	Cochliobolus	lunatus	Cochliobolus lunatus
Cocmi1	Cochliobolus	miyabeanus	Cochliobolus miyabeanus
Cocsa1	Cochliobolus	sativus	Cochliobolus sativus
Cocvi1	Cochliobolus	victoriae	Cochliobolus victoriae
Coemoj1	Coemansia	mojavensis	Coemansia mojavensis
Coere1	Coemansia	reversa	Coemansia reversa
Coespi1	Coemansia	spiralis	Coemansia spiralis
Cokrec1	Cokeromyces	recurvatus	Cokeromyces recurvatus
Colab1	Colletotrichum	abscissum	Colletotrichum abscissum
Colac2	Colletotrichum	acutatum	Colletotrichum acutatum
Colce1	Colletotrichum	cereale	Colletotrichum cereale
Colch1	Colletotrichum	chlorophyti	Colletotrichum chlorophyti
Colco1	Colletotrichum	costaricense	Colletotrichum costaricense
Colcu1	Colletotrichum	cuscutae	Colletotrichum cuscutae
Colhig2	Colletotrichum	higginsianum	Colletotrichum higginsianum
Colin1	Colletotrichum	incanum	Colletotrichum incanum
Collu1	Colletotrichum	lupini	Colletotrichum lupini
Collup1	Colletotrichum	lupini	Colletotrichum lupini
Colme1	Colletotrichum	melonis	Colletotrichum melonis
Colna1	Colletotrichum	navitas	Colletotrichum navitas
Color1	Colletotrichum	orchidophilum	Colletotrichum orchidophilum
Colorb1	Colletotrichum	orbiculare	Colletotrichum orbiculare
Colpa1	Colletotrichum	paranaense	Colletotrichum paranaense
Colph1	Colletotrichum	phormii	Colletotrichum phormii
Colsp1	Colletotrichum	sp.	Colletotrichum sp.
